t x v E
 84.5999 -0.00601364 0.00693347 8.42368e-05
 84.7999 -0.00461316 0.0070592 7.11135e-05
 84.9998 -0.00319478 0.0071126 6.07958e-05
 85.1998 -0.00177288 0.00709459 5.34763e-05
 85.3998 -0.000361605 0.00700675 4.92253e-05
 85.5998 0.00102531 0.00685134 4.79921e-05
 85.7998 0.00237461 0.00663123 4.96119e-05
 85.9998 0.00367371 0.00634987 5.38171e-05
 86.1998 0.00491074 0.00601128 6.02509e-05
 86.3998 0.0060747 0.00561992 6.84855e-05
 86.5998 0.00715552 0.00518072 7.80413e-05
 86.7998 0.00814415 0.00469896 8.84074e-05
 86.9998 0.00903264 0.00418026 9.90632e-05
 87.1998 0.00981418 0.00363048 0.000109499
 87.3998 0.0104832 0.00305567 0.000119234
 87.5998 0.0110352 0.00246201 0.000127837
 87.7998 0.0114671 0.00185575 0.000134939
 87.9998 0.0117771 0.00124315 0.000140245
 88.1998 0.0119644 0.000630369 0.000143544
 88.3998 0.0120296 2.34898e-05 0.000144712
 88.5998 0.0119746 -0.000571604 0.000143717
 88.7998 0.0118021 -0.00114926 0.000140611
 88.9998 0.0115164 -0.00170411 0.000135531
 89.1998 0.0111223 -0.00223111 0.000128684
 89.3998 0.0106261 -0.00272561 0.000120343
 89.5998 0.0100346 -0.00318335 0.000110826
 89.7998 0.00935546 -0.00360054 0.000100489
 89.9998 0.00859727 -0.00397385 8.97045e-05
 90.1998 0.00776904 -0.00430046 7.88519e-05
 90.3998 0.00688035 -0.00457806 6.82979e-05
 90.5998 0.0059412 -0.00480487 5.83847e-05
 90.7998 0.00496188 -0.00497966 4.94172e-05
 90.9998 0.00395286 -0.00510173 4.16527e-05
 91.1998 0.00292471 -0.00517091 3.52923e-05
 91.3997 0.001888 -0.00518757 3.04754e-05
 91.5997 0.000853132 -0.00515258 2.72769e-05
 91.7997 -0.000169681 -0.00506732 2.57065e-05
 91.9997 -0.00117056 -0.00493361 2.57107e-05
 92.1997 -0.00214005 -0.00475375 2.71779e-05
 92.3997 -0.00306916 -0.00453042 2.99445e-05
 92.5997 -0.00394952 -0.0042667 3.38034e-05
 92.7997 -0.00477337 -0.00396599 3.85142e-05
 92.9997 -0.00553369 -0.003632 4.38132e-05
 93.1997 -0.00622422 -0.0032687 4.94253e-05
 93.3997 -0.0068395 -0.00288026 5.50746e-05
 93.5997 -0.00737493 -0.00247101 6.04955e-05
 93.7997 -0.00782681 -0.00204542 6.54427e-05
 93.9997 -0.00819232 -0.00160803 6.96998e-05
 94.1997 -0.00846954 -0.00116339 7.30866e-05
 94.3997 -0.00865749 -0.000716049 7.54649e-05
 94.5997 -0.00875608 -0.00027048 7.67421e-05
 94.7997 -0.0087661 0.000168941 7.6873e-05
 94.9997 -0.0086892 0.000597991 7.58597e-05
 95.1997 -0.00852786 0.00101263 7.37498e-05
 95.3997 -0.00828536 0.00140904 7.06326e-05
 95.5997 -0.0079657 0.00178366 6.66338e-05
 95.7997 -0.00757357 0.00213322 6.19096e-05
 95.9997 -0.00711428 0.00245476 5.66388e-05
 96.1997 -0.00659371 0.00274564 5.10156e-05
 96.3997 -0.00601822 0.00300361 4.52406e-05
 96.5997 -0.00539459 0.00322675 3.95135e-05
 96.7997 -0.00472995 0.00341355 3.40247e-05
 96.9997 -0.00403167 0.00356289 2.89486e-05
 97.1997 -0.00330734 0.00367403 2.4437e-05
 97.3997 -0.00256463 0.00374662 2.06145e-05
 97.5997 -0.00181126 0.0037807 1.75744e-05
 97.7997 -0.00105489 0.00377672 1.53764e-05
 97.9996 -0.000303062 0.00373545 1.40454e-05
 98.1996 0.000436878 0.00365805 1.35722e-05
 98.3996 0.00115784 0.00354599 1.39146e-05
