t x v
 132.199 0.968287 -0.248666
 132.399 0.899584 -0.436076
 132.599 0.795019 -0.606101
 132.799 0.65876 -0.751963
 132.999 0.496238 -0.867847
 133.199 0.313934 -0.949134
 133.399 0.119115 -0.992583
 133.599 -0.0804524 -0.996462
 133.799 -0.276812 -0.960616
 133.999 -0.462137 -0.886474
 134.199 -0.629038 -0.776993
 134.399 -0.770862 -0.636536
 134.599 -0.881954 -0.470703
 134.799 -0.957887 -0.286105
 134.999 -0.995633 -0.090102
 135.199 -0.993687 0.109493
 135.399 -0.952127 0.304723
 135.599 -0.872609 0.487805
 135.799 -0.758305 0.651439
 135.999 -0.61377 0.789104
 136.199 -0.444767 0.89531
 136.399 -0.258033 0.965824
 136.599 -0.0610122 0.997834
 136.799 0.13844 0.990065
 136.999 0.332374 0.942826
 137.199 0.513057 0.858001
 137.399 0.673286 0.738971
 137.599 0.806674 0.590481
 137.799 0.907903 0.418452
 137.999 0.972938 0.229741
 138.199 0.999186 0.0318707
 138.399 0.985601 -0.16727
 138.599 0.932724 -0.359741
 138.799 0.842663 -0.537872
 138.999 0.719008 -0.694559
 139.199 0.56669 -0.823557
 139.399 0.391781 -0.919723
 139.599 0.201253 -0.979224
 139.799 0.00270231 -0.999687
 139.999 -0.195956 -0.980297
 140.199 -0.386802 -0.921826
 140.399 -0.562228 -0.826607
 140.599 -0.71524 -0.698434
 140.799 -0.839739 -0.542417
 140.999 -0.93076 -0.364777
 141.199 -0.984676 -0.172594
 141.399 -0.999337 0.0264682
 141.599 -0.974158 0.224476
 141.799 -0.910144 0.413534
 141.999 -0.809847 0.586106
 142.199 -0.677264 0.735313
 142.399 -0.517682 0.855205
 142.599 -0.337462 0.941004
 142.799 -0.143789 0.989289
 142.999 0.055616 0.998136
 143.199 0.252804 0.96719
 143.399 0.439913 0.897687
 143.599 0.609485 0.792397
 143.799 0.754758 0.655518
 143.999 0.869943 0.492506
 144.199 0.950447 0.30986
 144.399 0.99306 0.114861
 144.599 0.996084 -0.0847162
 144.799 0.959399 -0.280916
 144.999 0.884466 -0.465917
 145.199 0.774273 -0.632344
 145.399 0.633214 -0.773561
 145.599 0.466911 -0.88394
 145.799 0.281994 -0.95908
 145.999 0.0858359 -0.995985
 146.199 -0.113744 -0.993185
 146.399 -0.30879 -0.95079
 146.599 -0.491525 -0.870491
 146.799 -0.654665 -0.75549
 146.999 -0.791706 -0.610371
 147.199 -0.897185 -0.440918
 147.399 -0.966896 -0.253889
 147.599 -0.998062 -0.0567377
 147.799 -0.989439 0.142675
 147.999 -0.941372 0.3364
 148.199 -0.855776 0.516713
 148.399 -0.736063 0.676427
 148.599 -0.587008 0.809175
 148.799 -0.41455 0.909665
 148.999 -0.225567 0.973889
 149.199 -0.0275913 0.999289
 149.399 0.171484 0.984851
 149.599 0.363723 0.931152
 149.799 0.541462 0.840331
 149.999 0.697614 0.71601
 150.199 0.825956 0.563145
 150.399 0.92137 0.38783
 150.599 0.980053 0.197054
 150.799 0.999665 -0.0015783
 150.999 0.979425 -0.200147
 151.199 0.920139 -0.390737
 151.399 0.824172 -0.565749
 151.599 0.695348 -0.718207
 151.799 0.538803 -0.842033
 151.999 0.360779 -0.932291
 152.199 0.168372 -0.985382
 152.399 -0.0307464 -0.99919
 152.599 -0.228639 -0.973165
 152.799 -0.417417 -0.908343
 152.999 -0.589554 -0.80731
 153.199 -0.738188 -0.674093
 153.399 -0.857393 -0.514003
 153.599 -0.942418 -0.333421
 153.799 -0.989872 -0.139548
 153.999 -0.997864 0.0598881
 154.199 -0.966075 0.256937
 154.399 -0.895774 0.443742
 154.599 -0.789761 0.612857
 154.799 -0.652264 0.75754
 154.999 -0.488764 0.872023
 155.199 -0.30578 0.951742
 155.399 -0.110605 0.993519
 155.599 0.0889786 0.995688
 155.799 0.285015 0.958164
 155.999 0.469689 0.882441
 156.199 0.635638 0.77154
 156.399 0.776247 0.62988
 156.599 0.88591 0.46311
 156.799 0.960255 0.277878
 156.999 0.996319 0.0815684
 157.199 0.992664 -0.117993
 157.399 0.949436 -0.31285
 157.599 0.868358 -0.495236
 157.799 0.752662 -0.657878
 157.999 0.60696 -0.794293
 158.199 0.437062 -0.899042
 158.399 0.24974 -0.967951
 158.599 0.0524622 -0.998272
 158.799 -0.146907 -0.988795
 158.999 -0.340419 -0.9399
 159.199 -0.52036 -0.853535
 159.399 -0.679557 -0.733143
 159.599 -0.811662 -0.583523
 159.799 -0.911409 -0.410642
 159.999 -0.974823 -0.221389
 160.199 -0.999374 -0.0233116
 160.399 -0.984084 0.175695
 160.599 -0.929563 0.367698
 160.799 -0.837985 0.545042
 160.999 -0.712999 0.700657
 161.199 -0.55959 0.82834
 161.399 -0.383872 0.923
 161.599 -0.192851 0.980864
 161.799 0.00585862 0.999625
 161.999 0.204334 0.978535
 162.199 0.394663 0.918436
 162.399 0.569259 0.821722
 162.599 0.72116 0.692249
 162.799 0.844312 0.53518
 162.999 0.933805 0.356775
 163.199 0.98607 0.164148
 163.399 0.999025 -0.0350236
 163.599 0.972153 -0.232798
 163.799 0.906525 -0.421292
 163.999 0.804759 -0.592991
 164.199 0.67091 -0.74105
 164.399 0.510314 -0.859565
 164.599 0.329375 -0.943814
 164.799 0.135305 -0.990436
 164.999 -0.0641586 -0.997574
 165.199 -0.261064 -0.964943
 165.399 -0.447563 -0.893844
 165.599 -0.616218 -0.787111
 165.799 -0.760307 -0.648999
 165.999 -0.874086 -0.485014
 166.199 -0.953019 -0.301695
 166.399 -0.993959 -0.106348
 166.599 -0.995274 0.0932387
 166.799 -0.956911 0.289108
 166.999 -0.880401 0.473451
 167.199 -0.768792 0.63892
 167.399 -0.626536 0.778918
 167.599 -0.459302 0.887863
 167.799 -0.273757 0.961413
 167.999 -0.0772998 0.996635
 168.199 0.122239 0.992126
 168.399 0.316905 0.948065
 168.599 0.498937 0.866208
 168.799 0.661078 0.74982
 168.999 0.796865 0.603539
 169.199 0.900884 0.433198
 169.399 0.968988 0.245587
 169.599 0.998463 0.0481863
 169.799 0.988133 -0.151136
 169.999 0.938411 -0.344432
 170.199 0.851278 -0.523997
 170.399 0.730208 -0.682673
 170.599 0.580029 -0.814133
 170.799 0.406726 -0.913137
