t x v
 112.199 0.00266478 0.00107299
 112.399 0.00286391 0.000914469
 112.599 0.00303065 0.000750026
 112.799 0.00316401 0.000581408
 112.999 0.00326331 0.000410371
 113.199 0.00332824 0.00023866
 113.399 0.00335886 6.79933e-05
 113.599 0.00335552 -9.99564e-05
 113.799 0.00331896 -0.000263576
 113.999 0.00325017 -0.000421328
 114.199 0.0031505 -0.000571762
 114.399 0.00302154 -0.000713532
 114.599 0.00286515 -0.000845403
 114.799 0.00268344 -0.000966262
 114.999 0.0024787 -0.00107513
 115.199 0.00225343 -0.00117116
 115.399 0.00201027 -0.00125366
 115.599 0.001752 -0.00132208
 115.799 0.00148146 -0.00137601
 115.999 0.00120161 -0.00141522
 116.199 0.000915384 -0.0014396
 116.399 0.000625766 -0.00144921
 116.599 0.000335693 -0.00144425
 116.799 4.8053e-05 -0.00142505
 116.999 -0.000234347 -0.00139208
 117.199 -0.000508808 -0.00134596
 117.399 -0.000772764 -0.0012874
 117.599 -0.0010238 -0.00121722
 117.799 -0.00125969 -0.00113635
 117.999 -0.00147839 -0.00104581
 118.199 -0.00167807 -0.000946698
 118.399 -0.00185713 -0.000840155
 118.599 -0.00201419 -0.000727391
 118.799 -0.00214815 -0.000609649
 118.999 -0.00225812 -0.000488197
 119.199 -0.00234349 -0.000364313
 119.399 -0.0024039 -0.000239275
 119.599 -0.00243926 -0.000114348
 119.799 -0.00244971 9.23152e-06
 119.999 -0.00243563 0.000130263
 120.199 -0.00239766 0.000247596
 120.399 -0.00233665 0.00036014
 120.599 -0.00225366 0.000466873
 120.799 -0.00214995 0.00056685
 120.999 -0.00202696 0.000659215
 121.199 -0.0018863 0.000743201
 121.399 -0.00172972 0.000818141
 121.599 -0.00155908 0.000883472
 121.799 -0.00137635 0.000938736
 121.999 -0.0011836 0.000983585
 122.199 -0.000982934 0.00101778
 122.399 -0.000776499 0.00104119
 122.599 -0.00056646 0.00105381
 122.799 -0.000354973 0.00105572
 122.999 -0.000144166 0.0010471
 123.199 6.38811e-05 0.00102827
 123.399 0.00026716 0.000999609
 123.599 0.000463747 0.000961595
 123.799 0.000651824 0.000914792
 123.999 0.000829693 0.00085984
 124.199 0.000995793 0.000797446
 124.399 0.00114871 0.000728377
 124.599 0.00128718 0.000653453
 124.799 0.00141013 0.000573531
 124.999 0.00151664 0.000489506
 125.199 0.00160598 0.000402293
 125.399 0.0016776 0.00031282
 125.599 0.00173115 0.000222021
 125.799 0.00176646 0.000130823
 125.999 0.00178353 4.01385e-05
 126.199 0.00178256 -4.91415e-05
 126.399 0.00176391 -0.000136159
 126.599 0.00172814 -0.000220096
 126.799 0.00167592 -0.000300181
 126.999 0.0016081 -0.000375694
 127.199 0.00152567 -0.000445978
 127.399 0.00142974 -0.000510438
 127.599 0.00132152 -0.000568552
 127.799 0.00120234 -0.000619867
 127.999 0.0010736 -0.000664011
 128.199 0.000936757 -0.000700686
 128.399 0.000793337 -0.000729679
 128.599 0.000644894 -0.000750853
 128.799 0.000493001 -0.000764154
 128.999 0.000339233 -0.000769606
 129.199 0.000185155 -0.000767312
 129.399 3.23013e-05 -0.000757448
 129.599 -0.000117835 -0.000740262
 129.799 -0.000263818 -0.000716071
 129.999 -0.000404281 -0.000685253
 130.199 -0.000537939 -0.000648247
 130.399 -0.000663603 -0.000605543
 130.599 -0.000780182 -0.000557677
 130.799 -0.000886701 -0.000505227
 130.999 -0.000982303 -0.000448806
 131.199 -0.00106625 -0.000389052
 131.399 -0.00113796 -0.000326624
 131.599 -0.00119694 -0.000262195
 131.799 -0.00124287 -0.000196444
 131.999 -0.00127555 -0.00013005
 132.199 -0.00129492 -6.36851e-05
 132.399 -0.00130106 1.99288e-06
 132.599 -0.00129416 6.63457e-05
 132.799 -0.00127455 0.000128761
 132.999 -0.00124268 0.000188658
 133.199 -0.00119911 0.000245492
 133.399 -0.00114451 0.00029876
 133.599 -0.00107963 0.000348004
 133.799 -0.00100533 0.000392815
 133.999 -0.000922527 0.000432837
 134.199 -0.000832212 0.000467768
 134.399 -0.000735433 0.000497362
 134.599 -0.000633278 0.000521431
 134.799 -0.000526869 0.000539847
 134.999 -0.000417345 0.000552539
 135.199 -0.000305855 0.000559494
 135.399 -0.000193546 0.000560759
 135.599 -8.15479e-05 0.000556433
 135.799 2.90335e-05 0.00054667
 135.999 0.000137129 0.000531675
 136.199 0.000241715 0.000511702
 136.399 0.000341823 0.000487047
 136.599 0.000436549 0.000458048
 136.799 0.00052506 0.000425079
 136.999 0.0006066 0.000388546
 137.199 0.0006805 0.000348884
 137.399 0.000746176 0.000306547
 137.599 0.000803141 0.000262009
 137.799 0.000851003 0.000215755
 137.999 0.000889468 0.00016828
 138.199 0.00091834 0.000120078
 138.399 0.000937524 7.16421e-05
 138.599 0.000947021 2.3458e-05
 138.799 0.000946931 -2.40013e-05
 138.999 0.000937444 -7.02792e-05
 139.199 0.000918841 -0.00011494
 139.399 0.000891489 -0.000157572
 139.599 0.000855832 -0.000197793
 139.799 0.00081239 -0.000235251
 139.999 0.000761749 -0.00026963
 140.199 0.000704553 -0.00030065
 140.399 0.000641502 -0.000328069
 140.599 0.000573336 -0.000351688
 140.799 0.000500836 -0.000371346
 140.999 0.000424805 -0.000386928
 141.199 0.000346069 -0.00039836
 141.399 0.000265464 -0.000405611
 141.599 0.000183825 -0.000408692
 141.799 0.000101985 -0.000407656
 141.999 2.07593e-05 -0.000402594
 142.199 -5.90582e-05 -0.000393638
 142.399 -0.000136703 -0.000380952
 142.599 -0.000211448 -0.000364738
 142.799 -0.000282609 -0.000345225
 142.999 -0.000349551 -0.000322675
 143.199 -0.000411692 -0.00029737
 143.399 -0.000468513 -0.000269616
 143.599 -0.000519555 -0.000239738
 143.799 -0.000564425 -0.000208075
 143.999 -0.000602802 -0.000174976
 144.199 -0.000634433 -0.000140797
 144.399 -0.000659139 -0.000105901
 144.599 -0.000676811 -7.06475e-05
 144.799 -0.000687415 -3.53933e-05
 144.999 -0.000690986 -4.88475e-07
 145.199 -0.000687628 3.37275e-05
 145.399 -0.000677512 6.69286e-05
 145.599 -0.000660872 9.88056e-05
 145.799 -0.000638005 0.000129068
 145.999 -0.000609259 0.000157449
 146.199 -0.000575038 0.000183702
 146.399 -0.00053579 0.000207611
 146.599 -0.000492004 0.000228984
 146.799 -0.000444205 0.000247659
 146.999 -0.000392947 0.000263505
 147.199 -0.000338809 0.000276421
 147.399 -0.000282383 0.000286337
 147.599 -0.000224276 0.000293214
 147.799 -0.000165099 0.000297044
 147.999 -0.000105459 0.00029785
 148.199 -4.59571e-05 0.000295683
 148.399 1.28179e-05 0.000290625
 148.599 7.02976e-05 0.000282783
