t x v
 165.199 -1.15206 -0.253363
 165.399 -1.17969 -0.0178837
 165.599 -1.15967 0.218412
 165.799 -1.0928 0.445978
 165.999 -0.981746 0.655618
 166.199 -0.830987 0.838855
 166.399 -0.646596 0.988275
 166.599 -0.436009 1.09783
 166.799 -0.207723 1.16307
 166.999 0.0290461 1.18136
 167.199 0.264737 1.15192
 167.399 0.489826 1.07594
 167.599 0.695217 0.956451
 167.799 0.872603 0.798279
 167.999 1.01481 0.607793
 168.199 1.11607 0.392676
 168.399 1.17228 0.161608
 168.599 1.18116 -0.0760802
 168.799 1.14232 -0.31079
 168.999 1.05732 -0.533038
 169.199 0.929561 -0.733841
 169.399 0.764202 -0.905076
 169.599 0.567902 -1.03982
 169.799 0.348581 -1.1326
 169.999 0.11509 -1.17966
 170.199 -0.123145 -1.17909
 170.399 -0.356499 -1.13088
 170.599 -0.575545 -1.03696
 170.799 -0.771426 -0.901112
